Modelo,Sustancia,Accuracy,F1 Macro,F1 Weighted,Precision Macro,Recall Macro,Tiempo Inferencia (s)
RandomForest,Cannabis,0.4217506631299735,0.27267913735662097,0.3583932245715181,0.3430189203481128,0.29697848749863365,0.04284405708312988
XGBoost,Cannabis,0.363395225464191,0.24165140981559116,0.3234177433977624,0.24484172700225476,0.2586324398779003,0.0036470890045166016
LogisticRegression,Cannabis,0.41644562334217505,0.22058793378451874,0.319713551799055,0.24476911976911975,0.2709424288612627,0.01684713363647461
