Modelo,Sustancia,Accuracy,F1 Macro,F1 Weighted,Precision Macro,Recall Macro,Tiempo Inferencia (s)
RandomForest,Caff,0.7347480106100795,0.12101354303189164,0.6224012199969176,0.10496400151572564,0.14285714285714285,0.04250907897949219
XGBoost,Caff,0.726790450928382,0.13381054210175516,0.6330136369636692,0.15339578454332553,0.14755497210370858,0.003180980682373047
LogisticRegression,Caff,0.7347480106100795,0.12101354303189164,0.6224012199969176,0.10496400151572564,0.14285714285714285,0.0012788772583007812
