Modelo,Sustancia,Accuracy,F1 Macro,F1 Weighted,Precision Macro,Recall Macro,Tiempo Inferencia (s)
RandomForest,Alcohol,0.3740053050397878,0.13681843457813284,0.30986105210343023,0.1482928655333101,0.15438610807292413,0.04633307456970215
XGBoost,Alcohol,0.363395225464191,0.18039892934024815,0.32062906584177286,0.21359966221852433,0.17970110239149176,0.0033178329467773438
LogisticRegression,Alcohol,0.3952254641909814,0.1432673266601902,0.3047941531930929,0.18935100972473298,0.16506159725284267,0.0015032291412353516
