Modelo,Sustancia,Accuracy,F1 Macro,F1 Weighted,Precision Macro,Recall Macro,Tiempo Inferencia (s)
RandomForest,Coke,0.5358090185676393,0.17269486107696091,0.4550263197541969,0.209566643034385,0.1784240405563935,0.041091203689575195
XGBoost,Coke,0.5039787798408488,0.1800495858072205,0.4552126431869173,0.18048341915809712,0.18572760300701477,0.0035545825958251953
LogisticRegression,Coke,0.5305039787798409,0.1647638682121441,0.4422152260440014,0.19421895308992082,0.1802540460628696,0.0016434192657470703
