Modelo,Sustancia,Accuracy,F1 Macro,F1 Weighted,Precision Macro,Recall Macro,Tiempo Inferencia (s)
RandomForest,Chocolate,0.4005305039787798,0.1299069362575052,0.35726435949273555,0.1261595547309833,0.1432900955163383,0.04333138465881348
XGBoost,Chocolate,0.38992042440318303,0.13333527374334198,0.35724664775513226,0.13045404208194905,0.14249795900803344,0.0033054351806640625
LogisticRegression,Chocolate,0.4350132625994695,0.1213857743836922,0.3464815647444004,0.12177985948477753,0.14956055414866679,0.0015876293182373047
