Modelo,Sustancia,Accuracy,F1 Macro,F1 Weighted,Precision Macro,Recall Macro,Tiempo Inferencia (s)
RandomForest,Nicotine,0.3793103448275862,0.18610038963959716,0.3069776888962384,0.22542309606769534,0.2115190270222331,0.043670654296875
XGBoost,Nicotine,0.36074270557029176,0.18773797032888703,0.3049164318569126,0.19746527018095347,0.20673626739970968,0.004273891448974609
LogisticRegression,Nicotine,0.3978779840848806,0.18488957719615606,0.3102426490032463,0.19345249926645275,0.22277888861952913,0.01494145393371582
